t score sum,FSIQ-2,percentile
40,45,0
41,49,0
42,51,0.1
43,52,0.1
44,53,0.1
45,54,0.1
46,55,0.1
47,56,0.2
48,57,0.2
49,57,0.2
50,58,0.3
51,59,0.3
52,60,0.4
53,61,0.5
54,62,1
55,62,1
56,63,1
57,64,1
58,65,1
59,66,1
60,66,1
61,67,1
62,68,2
63,69,2
64,70,2
65,71,3
66,71,3
67,72,3
68,73,4
69,74,4
70,75,5
71,75,5
72,76,5
73,77,6
74,78,7
75,79,8
76,79,8
77,80,9
78,81,10
79,82,12
80,83,13
81,84,14
82,84,14
83,85,16
84,86,18
85,87,19
86,88,21
87,89,23
88,89,23
89,90,25
90,91,27
91,92,30
92,93,32
93,94,34
94,94,34
95,95,37
96,96,39
97,97,42
98,98,45
99,99,47
100,100,50
101,101,53
102,102,55
103,102,55
104,103,58
105,104,61
106,105,63
107,106,66
108,107,68
109,108,70
110,109,73
111,109,73
112,110,75
113,111,77
114,112,79
115,113,81
116,114,82
117,115,84
118,116,86
119,117,87
120,117,87
121,118,88
122,119,90
123,120,91
124,121,92
125,122,93
126,123,94
127,123,94
128,124,95
129,125,95
130,126,96
131,127,96
132,128,97
133,129,97
134,129,97
135,130,98
136,131,98
137,132,98
138,133,99
139,134,99
140,135,99
141,135,99
142,136,99
143,137,99
144,138,99
145,139,99.5
146,140,99.6
147,141,99.7
148,142,99.7
149,142,99.7
150,143,99.8
151,144,99.8
152,145,99.9
153,146,99.9
154,147,99.9
155,148,99.9
156,150,100
157,152,100
158,154,100
159,157,100
160,160,100